Vintage,Winery,Label,Variety,Region,Country,Wine Type,Merit,Value,Best,%Alcohol,Qty,Qty/Case,Bottle Size,Price,User Notes 1,User Notes 2,Location,UserField3
2005,Frazier Vineyards,Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,2018,,1,,750 mL,59.99,BIG wine...dark chocolate  raspberries  plums  leather  coffee.,We had a bottle with Josh and Dana  Nick and Meg  Andrew for Father's Day dinner 2011...a Friday night with perfectly grilled filets (thanks to Josh) before Andrew headed for Finland to visit Baron. A wonderful wine...wish I had a case. A WTSO wine. ,Wine Rack 3,Row 1/bin 3
2007,Fitch Mountain Cellars,Cabernet Sauvignon,Cabernet Sauvignon,Alexander Valley,United States,R,,,2018,,4,,750,28.99,Decant, Pretty stiff tannins 8-4-12. Needs to rest a couple of more years.,Wine Rack 4,4th row/2nd bin from left
2006,Thumbprint Cellars,Cabernet Sauvignon-Andolsen Top Block,Cabernet Sauvignon,California-Dry Creek Valley,United States,R,,,2018,,1,,750 mL,44.99,,Gnekow Family Winery 17347 East Gawne Road Stockton  CA 95215-9646,Wine Rack 4,4th row/1st bin on left
2004,Innisfree,Innisfree Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,,,1,,750 ml,23.99,,Joseph Phelps Vineyards 200 Taplin Road P.O. Box 1031 St. Helena  CA 94574,Wine Rack 4,bottom row/3rd bin from left
2001,Paolo Scavino,Barolo ,Nebbiolo,Piedmont,Italy,R,,,2014,,1,,750 mL,$52,Christmas 2006 gift from Meg,Coyuchi  Inc. P. O. Box 845 Point Reyes Station  CA 94956-0845,Wine Chest,1st row/1st bin on left
2006,Silver Oak,Cabernet Sauvignon,Cabernet Sauvignon,Alexander Valley,United States,R,,,2018,,1,,750 mL,gift,Decant, Gift from Geoff Hiland before US Open  June 2011,Wine Chest,1st row/1st bin on left
2005,Bodegas Carmen Rodriguez Mendez,Carodorum Especial ,Tempranillo,Castilla Leon,Spain,R,,,2023,,3,,750 mL,73.25,, ,Wine Chest,1st row/1st bin on left
2007,Clos Saint Michel,Chateauneuf du Pape,GSM,Chateauneuf-du-Pape,France,R,,,2030,,2,,750,34.00,,Total Wine and More Suite 214 11325 Seven Locks Road Potomac  MD 20854,Rhone Rack,Row 3/bin 2
2005,Clos Saint Michel,Chateauneuf du Pape,GSM,Chateauneuf-du-Pape,France,R,,,2025,,1,,750,35.00,,Total Wine and More Suite 214 11325 Seven Locks Road Potomac  MD 20854,Rhone Rack,Row 3/bin 2
2007,Domaine du Grand Tinel,Chateauneuf du Pape Alexis Establet,GSM,Chateauneuf-du-Pape,France,R,,,2023,,1,,750 mL,59.99,Very concentrated  pepper  licorice  red and black fruit; silky tannins,Will enjoy with Marilyn & Rich  Ken and Liz with Boeuf Bourguignon Dec. 14  2013. Will enjoy with LCR and a filet as she recovers from rotator cuff surgery. Nov. 5  201`7 -- just lovely.  ,Rhone Rack,Row 2/bin 3
2005,Patrick Lesec,x-Chateauneuf du Pape - Pierres Dorees,GSM,Chateauneuf-du-Pape,France,R,,,2025,,1,,750 mL,35.00,,LCR-Christmas 2009 ,Rhone Rack,Row 2/bin 1
2007,Domaine de Saint Paul,x-Chateauneuf du Pape,GSM,Chateauneuf-du-Pape,France,R,,,2018,,1,,750 mL,49.99,, ,Rhone Rack,Row 3/bin 3
2002,Domaine Santa Duc,Gigondas,Grenache,Gigondas,France,R,,,2016,,1,,750 mL,28.00,,July 29  2012 -- having this with grilled shishkebabs  pesto orzo while watching day 2 of the XXX Olympics -- lovely.   ,French Rack,Row 3/bin 1
2003,Chateau Gigault,Cuvee Viva Bordeaux,Blend (Red),Bordeaux,France,R,,,,,1,,750 mL,29.99,, ,Daily,1st row/right
2005,Mas Carlot,Les Enfants Terribles Rhone,Syran/Mourvedre,Côtes du Nimes,France,R,,,,,2,,750,23,,G. Raden & Sons  Inc. 3215 Lind Ave.  S.W. Renton  WA 98055,Daily,1st row/right
2003,Domaine de la Mordoree,La Damme Rousse Cotes-du-Rhone,Syrah,Cotes-du-Rhone,France,R,,,,,1,,750 mL,23,DECANT! Lots of sediment.,Kysela Pere Et Fils  Ltd. 350 Chestnut Grove Road Winchester  VA 22603,Daily,2nd row/right
2005,Chateau Coutet,St. Emilion Grand Cryu,Merlot/Cab Franc/Malbec,Bordeaux,France,R,,,2018,,1,,750 mL,Gift,From the spectacular 2005 Bordeaux vintage. Gift on 60th birthday from Gay and Andrew, ,French Rack,Row 4/bin 1
2005,Chateau Tour des Termes,St. Estephe,Merlot/Cabernet Sauvignon,Bordeaux,France,R,,,2018,,1,,750 mL,59,DECANT! No filtration. gift from Gay and Andrew for 60th Birthday., ,French Rack,Row 4/bin 1
2007,La Tiare Imperiale,Chateauneuf du Pape,GSM,Chateauneuf-du-Pape,France,R,,,2025,,4,,750,49.78,Do not drink before 2015.,  Black cherries/licorice/ currants  soft nuances of pepper  mocha  smoke.  Meant for hearty meat dishes.    Received four bottles as a 40th anniversary present from WTSO. Wow! Enjoyed first bottle w/Joan and Donn @ their house for dinner just before we shoved off for France-Aug. 12  2017. Has two more bottles with Gabbie and Andrew with filets on Oct. 13  2018. ,Rhone Rack,Row 4/bin 3
2007,Domaine Louis Latour,Corton Grand Cru Burgundy,Pinot Noir,Burgundy,France,R,,,2022,,2,,750,$80.00,Don't drink before 2014. Good dense cherry and fruit flavors. , ,Pinot/Burgundy Rack,row 5/bin 1
2008,Domaine Philippe Leclerc,Gevrey Chambertin 1er Cru Les Cazetiers,Pinot Noir,Burgundy,France,R,,,2020,,2,,750 mL,109.74,Decant! Should have sediment. Don't drink before 2015. Meant with big meat dishes., ,Pinot/Burgundy Rack,Row 4/bin 2
2008,Louis Liger Dubois,Les Porets St. Georges 1ier Cru Burgundy,Pinot Noir,Burgundy,France,R,,,2025,,3,,750 mL,80.00,Do not drink before 2015. Black cherries  dark raspberries  chocolate  caramel  coffee.  long finish.  Open two hours/decant.,Excellent with coq au vin  veal scallopini  veal roast  pork chops. ,Pinot/Burgundy Rack,row 4/bin 1
2008,Domaine Laleure Piot ,Pernand-Vergelesses 1ier Cru Burgundy,Pinot Noir,Burgundy,France,R,,,2020,,2,,750 mL,70.00,Aromas of raspberries  wild strawberries  ginger spice. On the tongue  black raspberries  kirsch  dark cherries  violets  cinnamon/nutmeg hints. Recommended with roast beef  bouillabaisse  duck  tuna., ,Pinot/Burgundy Rack,row 5/bin 1
2006,Eagles Trace Vineyards,Pinot Noir-Valhalla Vineyard,Pinot Noir,Napa,United States,R,,,2018,,1,,750 mL,25.99,, ,Josh's Pinot Rack,5th column & fridge
2009,Fitch Mountain Cellars,Cabernet Sauvignon,Cabernet Sauvignon,Alexander Valley,United States,R,,,2018,,3,,750 mL,44.49,Decant. Unfiltered. ,Optima Wine Cellars P.O. Box 1691 Healdsburg  CA 95448-1691,Wine Rack 4,5th row/center bin
1996,St. Hallett Wines,Cabernet Sauvignon - The Reward,Cabernet Sauvignon,Barossa Valley,Australia,R,,,2016,,1,,750 mL,$53.95,Purchased at St. Hallett Dec. 2004 during Australia visit., ,Andrew's Rack,1st column
2006,Torbreck Wines,The Steading Grenache,Grenache/Shiraz,Barossa Valley,Australia,R,,,2018,,2,,750 mL,34.95,Deep ruby with flickers of violet  its delicate aromas of truffle  five spice and spring flowers are supported by a rich core of framboise  licorice  saddle leather and Provencal herbs. Very ‘Burgundian’ in style  the palate is elegant and pure with subtle notes of crushed cherries  earth and cedar all neatly wound by a taut spine of acidity and ripe supple tannins. The 2006 Steading will continue to unfold with time in the cellar & shall provide those with the patience great enjoyment for many years to come., ,Wine Rack 2,Row 4/bin 3
2008,Schild Estate,Barossa Shiraz,Shiraz,Barossa Valley,Australia,R,,,2017,,1,,750ml,$27.99,Rated No. 8 on Wine Spectator's Top 100 wines of 2010. found through WTSO...split a case with ernie and zita.,   Feb 1  2014 -- enjoyed a bottle with Ken and Barclay for a wonderful roast pork dinner. yum! ,Wine Rack 2,Row 4/bin 2
2004,Penfolds,St. Henri Shiraz,Shiraz,South Australia,Australia,R,,,2020,,4,,750 ML,45.99,WA: Sourced from five different regions  purple-colored with a nose that gives up aromas of smoke  game  Asian spices  blueberry and blackberry. Smooth-textured on the palate  it is nicely layered with savory fruit  lots of spice and enough stuffing to evolve for 3-5 years. it will be in its prime through 2022. ,My favorite Penfolds wine (though I haven't tasted the Grange).  I first tasted the St. Henri it at the winery in Adelaide during my 2001 business trip there. I so loved it I bought a bottle and carted it home via Korea and Japan.  A special wine. We had a bottle with grilled lamb steaks on May 13  2018 -- Mother's Day. Magnificent!,Wine Rack 2,Row 5/bin 1
2006,D'Arenberg,The Dead Arm,Shiraz,McLaren Vale,Australia,R,,,2032,,4,,750ml,$56,Decant several hours before consuming. Best from 2018-2036.,  WA: Opaque and deep purple  the nose is reticent  but gives up aromas of meat  bacon  game  truffles  blueberry and blackberry. Firm  layered and complex  this beauty demands a decade of cellaring.  1232 Market Street  Suite 101 San Francisco  CA 94102,Wine Chest,2nd row/1st bin
2005,D'Arenberg,The Dead Arm,Shiraz,McLaren Vale,Australia,R,,,2032,,4,,750ml,75.00,Decant several hours before drinking! , RP: Aged for 22 months in a mix of new and used French and American oak. It is opaque purple/black with an expansive perfume of toast  smoke  spice box  mineral  pencil lead  tar  licorice  blueberry and blackberry. Full-bodied  opulent and super concentrated with great structure. Will drink well through 2025. 1232 Market Street  Suite 101 San Francisco  CA 94102,Wine Chest,2nd row/3rd bin
1998,D'Arenberg,The Dead Arm,Shiraz,McLaren Vale,Australia,R,,,2035,,1,,750ml,$70,Decant! Best after 2013., Opened on Aug. 28  2015 w/Andrew as we celebrated our retirement.,Wine Chest,2nd row/3rd bin from left
2002,D'Arenberg,The Dead Arm,Shiraz,McLaren Vale,Australia,R,,,2020,,2,,750ml,65.00,Decant several hours before drinking! ,  RP:  1232 Market Street  Suite 101 San Francisco  CA 94102,Wine Chest,2nd row/3rd bin from left
2001,Chateau Dauzac,Margaux,Blend (Red),Bordeaux,France,R,,,,,1,,750 mL,59.99,Blackberries and spices  cedar. ,Vignobles Andre Lurton Ch. Bonnet 33420 Grezillac France,Wine Chest,2nd row/4th bin from left
2002,Carruades de Lafite,Pauillac,Red Bordeaux,Bordeaux,France,R,,,,,1,,750,45.00,, ,Wine Chest,2nd row/4th bin from left
2003,Chateau Langoa Barton,Saint Julien,Red Bordeaux,Bordeaux,France,R,,,2025,,1,,750 mL,45.00,,Had first bottle with Louise on Feb. 18  2012...steak  baked potatoes  fire in the fireplace  cold and sleeting outside. Meg and Nick went out... ,Wine Chest,2nd row/4th bin from left
2001,Chateau Langoa Barton,Saint Julien,Red Bordeaux,Bordeaux,France,R,,,2022,,1,,750 mL,37.99,Gift from Mom and Dan -- Birthday 2004, ,Wine Chest,2nd row/4th bin from left
1998,Chateau Garraud,Pomerol,Red Bordeaux,Bordeaux,France,R,,,,,2,,750 mL,39.99,,Wines Ltd 2302 Perkins Place Silver Spring  MD 20910,Wine Chest,2nd row/5th bin from left
1998,Chateau Haut Maillet,Pomerol,Red Bordeaux,Bordeaux,France,R,,,,,1,,750 mL,39.99,Best after 2007, LCR-30th anniversary 2302 Perkins Place Silver Spring  MD 20910,Wine Chest,2nd row/5th bin from left
1998,Chateau d'Arche,Haut Medoc,Red Bordeaux,Bordeaux,France,R,,,,,1,,750 mL,29.99,,Monsieur Henri Wines Ltd. 50 Main Street White Plains  NY 10606-1920,Wine Chest,2nd row/5th bin
2002,Joseph Phelps,The Insignia,Cabernet Sauvignon,California - Napa,United States,R,,,2030,,3,,750 ML,$350.00,Wine Spectator's Wine of the Year for 2005,Joseph Phelps Vineyards 200 Taplin Road P.O. Box 1031 St. Helena  CA 94574,Wine Chest,3rd row/1st and 2nd bins from left
2005,Chateau de Fonbel,Saint Emilion Grand Cru,Red Bordeaux,Bordeaux,France,R,,,,,5,,750 mL,43.99,,My first experiment in Bordeaux futures.  ,Wine Chest,3rd row/3rd bin from left
2002,Bodega Catena Zapata,Nicolás Catena Zapata,Malbec,Mendoza,Argentina,R,,,2018,,2,,750 mL,$124,Bought with Louise at a special Catena tasting in Vienna., Enjoyed bottle at Christmas  2011  with a wonderful beef tenderloin with Andrew  Meg  Nick and Baker. What a wonderful evening. The wine was spectacular...wonderful body and outrageously long finish.   Winery: a dark  opaque violet color. The nose is packed full of ripe black berry fruit aromas  with layers of eucalyptus  black pepper  and mineral notes. The mouthfeel is full  yet supple  with a soft  generous texture. On the palate  the wine offers rich  concentrated flavors of cassis and black currant fruit interwoven with notes of cigar box  sweet spice and vanilla. The finish is long and lingering  with well structured tannins and racy acidity.,Wine Chest,3rd row/4th bin from left
2006,Bodega Catena Zapata,Malbec Argentino,Malbec,Mendoza,Argentina,R,,,2031,,1,,750 mL,$134.99,Best after 2015,Winebow  Inc. 22 Hollywood Avenue  Suite C P.O. Box 250 Ho-Ho-Kus  NJ 07423,Wine Chest,3rd row/4th bin bottom
2006,Bodega Catena Zapata,Nicolás Catena Zapata,Cabernet Sauvignon,Mendoza,Argentina,R,,,2040,,2,,750 mL,79.00,,Winebow  Inc. 22 Hollywood Avenue  Suite C P.O. Box 250 Ho-Ho-Kus  NJ 07423,Wine Chest,3rd row/5th bin from left 
1999,Grant Burge Wines,The Holy Trinity GSM,GSM,Barossa Valley,Australia,R,,,,,1,,750 mL,42.00,LCR-Father's Day 2005, ,Wine Rack 2,Row 4/bin 3
2005,Nuestro,Ribera del Duero,,Ribera del Duero,Spain,R,,,2015,,1,,750 mL,24.00,, ,Wine Rack 1,row 1/bin 1
2006,Arrocal,Arrocal Ribera Del Duero,Tempranillo,Ribera del Duero,Spain,R,,,,,1,,750 ml,26.49,, Winebow  Inc. 22 Hollywood Avenue  Suite C P.O. Box 250 Ho-Ho-Kus  NJ 07423,Wine Rack 1,2nd row/left
2004,Luna Beberide ,Tierras De Luna ,Mencia Cab. Tempranillo Merlot,Bierzo,Spain,R,,,2016,,1,,750,$32,Very acidic and tannic. Drink with food and decant for at least 90 minutes. , ,Wine Rack 1,Row 1/Bin 1
2009,Mollydooker,The Velvet Glove Shiraz,Shiraz,McLaren Vale,Australia,R,,,,,1,,750 mL,,,This was a survivor bottle of an entire container of The Velvet Glove that was dropped while loading for the US.  A 40th anniversary gift from my beloved Louise. ,Wine Chest,3rd row/far right (in bag)
2009,Owen Roe Winery,The Keeper,Cabernet Franc,Washington-Columbia Valley,United States,R,,,,,1,,750 mL,20.00,,Discovered at the Wine Cabinet in Reston. Delightful owners. Aug. 20  2011 ,Wine Rack 3,Row 4/bin 3
2008,Corvidae Wine Company,Ex Umbris,Syrah,Washington-Columbia Valley,United States,R,,,,,1,,750 mL,23.99,,A wonderful  rich Syrah that we discovered at The Wine Cabinet in Reston. ,Wine Rack 3,row 3/bin 5
2007,Villa Mattielli,Amarone della Valpolicella,Amarone,Veneto,Italy,R,,,2018,,2,,750 mL,58.00,Decant and let breath for at least 2-3 hours. After picking  the grapes are laid out on racks to dry for 120 days to increase sugar content. ,Pair with osso buco  veal  hearty beef stews. 4/14/12 -- having tonight w/ragu...ken & barclay.  3/20/16 -- w/lasagna 8/11/16--pair w/chix lasagna...celebrating end of rehab!,Wine Rack 1,4th row/bin 2
2009,Bodega Poesia,Clos des Andes Malbec Reserva,Malbec,Mendoza,Argentina,R,,,2022,,1,,750 mL,$29.00,,We will visit Poesia during our visit to Argentina. Can't wait. Dec 2011--Poesia stood us up. Won't be buying any more of their wine in this lifetime no matter how good it is.  From Liz Aug. 20  2017,Wine Rack 3,row 3/bin 2
2007,Peters Family Winery,Cabernet Sauvignon Sonoma Mountain,Cabernet Sauvignon,Sonoma California,United States,R,,,2016,,1,,750 mL,55.00,A micro vintage...only about 200 cases. Pleasant aromas of dark cherries  blueberries  cherry liqueur and cinnamon vanilla spice. The palate has a nice mix of red and black fruit including red and black currants  crème de cassis  blackberry vanilla cream and dark raspberries. The tannins are round and pleasant  with a silky mouth feel and a very pleasant finish. .,10-25-12: Whoa! What a delightful wine....went perfectly with a tenderloin...very seductive and romantic.  ,Andrew's Rack,Row 2/bottom
2008,Muir-Hanna Vineyards,Muir's Heritage Reserve Cuvee,Cab Franc/Merlot/Verdot,Napa-Oak Knoll District,United States,R,,,2016,,1,,750 mL,44.65,Aromas of dark chocolate  black raspberry. Tasting dark cherries  blackberries  chocolate  vanilla  spice box. 280 cases produced., ,Wine Rack 4,Row 5/bin2
2006,I Balzini-White Label,Rossi Della Toscana Centrale Super Tuscan,Cab Sauvignon/Sangiovese,,Italy,R,,,2022,,1,,750ML,45.00,Very pure and intense  featuring raspberry  black currant  cherry and spice aromas and flavors. There's ample oak for support  as well as firm tannins and bright acidity  but this is all about the fruit  silky texture and persistent aftertaste. Best from 2014 through 2025. 2 000 cases made. , ,Wine Rack 1,Row 3/bin 2
2009,Domaine La Milliere,Chateauneuf du Pape,GSM,Rhone Valley,France,R,,,2025,,3,,750 mL,55.00,Black raspberry  black licorice  dense  long finish., ,Rhone Rack,Row 2/bin 3
2008,Achaval-Ferrer,Quimera,Malbec/merlot/cab,Mendoza,Argentina,R,,,2016,,2,,750 mL,$50,,40 percent malbec/22 percent merlot/20 percent cab with remainder cab franc and petit verdot. Aged for 12 months in French oak.  Unfiltered.  DECANT AT LEAST ONE HOUR.  ,Wine Rack 3,row 5/bin 1
2006,Vina Cobos,U Nico Marchiori Vineyard,Cabernet/Malbec,Mendoza,Argentina,R,,,2020,,2,,750 mL,$217,,67 percent cab/33 percent merlot. Made by Paul Hobbs. On the nose  lavender  tobacco  crushed stone  black cherry  blackberry. 18 months in new French oak. ,Wine Chest,Row 3/bin 8
2005,Bodegas Altanza,Club Lealtanza Reserve,Rioja,Rioja,Spain,R,,,2025,,4,,750 mL,89.00,A wonderful wine...went perfectly with steak. Lovely nose. Yum. , 7/25/14--wow...what a wine...ernie and I enjoyed with a rib eye...perfect. No sediment...decant and slightly chill. ,Wine Rack 1,Row 2/bin1
2008,Belasco De Baquedano,Swinto (Crow) Malbec,Malbec,Mendoza-Lujan de Cuyo,Argentina,R,,,2020,,1,,750 mL,44.99,From a 100-year-old vineyard  planted only to Malbec. Aged for 18 months in new French oak and bottled without filtration. Nose of mineral  licorice  espresso  violets  black raspberry. Dense and layered. one signed by the wine maker.,Added six bottles Feb. 25  2012. Had one with Ernie for his welcome back dinner. Gave one to Ken -- happy 65th. ,Wine Rack 3,Row 2/bin 2
2006,Schramsberg,Schramsberg Blanc De Blancs,Chardonnay,California,United States,W,,,,,2,,750 ML,55.98,Dry and crisp  very fruity.  Its aromas are more creamy than "old yeasty" with notes of chalk and vanilla sitting in for the toasty notes that come with longer aged wines. Firm and abundant in its foamy  insistent mousse  this buoyant wine has the richness to go with foods like chicken in cream sauces and the acidity to make it a stellar mate to tangy shellfish dishes., Mellow white. Dry to slightly sweet. Enough acid for white meats. Drinkable now. Further bottle aging can improve this wine. 1400 Schramsberg Road Calistoga  CA 94515,Josh's Pinot Rack,row 3/slots 4 & 5
2011,Kim Crawford Wines,Kim Crawford Sauvignon Blanc,Sauvignon/Fume Blanc,Marlborough  South Island,New Zealand,R,,,,,3,,750 mL,$19.99,,Vincor Canada - A Constellation Company  Crawford Productions Ltd P.O. Box 56576  Dominion Road Auckland New Zealand,Refrigerator,
2009,Andeluna,Andeluna Malbec Reserve,Malbec,Mendoza,Argentina,R,,,2014,,1,,750 mL,25.99,, ,Wine Rack 3,row 3/bin 1
2006,Artesa,Napa/Sonoma Cabernet Sauvignon,Cabernet Sauvignon,California - Napa/Sonoma,United States,R,,,2016,,1,,750 mL,$ 38.00,,The wine spent just over 2 years in French Oak barrels  30% of which are new. The wine is about two-thirds from vineyards in Napa Valley and the other third are from Sonoma Valley. While the wine is classified as a Cabernet  it includes all five Bordeaux blending varietals  which makes the wine more complex with more depth. A purple hue. A Bordeaux nose of dark cherries  licorice  creme de cassis and black currant. Nice body and layers of complexity with plum  blackberries  boysenberry  and dark cherries with touches of dark chocolate  tobacco  and cracked white pepper. Pair with Beef Wellington  Baby lamb chops with mint jelly  Coq au Vin  chicken in a rich mushroom sauce and game meats. Enjoy 2012-2018.*,Andrew's Rack,row 2
2007,Bodega Vistalba Carlos Pulenta Wines,Corte A Mendoza Malbec,Malbec,Mendoza,Argentina,R,,,2020,,2,,750 mL,75.00,,87% Malbec  8% Bonarda  5% Cab. Aged in new French oak for 18 months.  WA: Deep purple color  rich  fruity  dense. Needs cellaring until 2015 to mature. Drink thru 2026.  WE: Intense bouquet  huge black fruit aromas  great shadings of chocolate and coffee. ,Wine Rack 3,row 3/bin 2
2006, Tenuta del Portale,Vintage Reserve Sonoma Cabernet Sauvignon,Cabernet Sauvignon,Sonoma California,United States,R,,,2017,,2,,750 mL,$80.00,DECANTING Recommended. A black purple hue w/nose of elegance and complexity  including dark cherries  blackberries and blueberries...red currants  chocolate  vanilla and cinnamon.  Only 700 cases produced. Label pays respect to the city of Chicago. ,This  is my first collectible from "Gun Bun." This is their top wine -- the Vintage Reserve Cabernet Sauvignon...88% cab with the remainder Petit Verdot and Malbec. Aged for 18 months in French oak.  ,Wine Rack 4,Row 1/bin 2
2006,Casalino,Brunello di Montalcino,Sangiovese,Brunello di Montalcino,Italy,R,,,2020,,1,,750 mL,34.99,toasted almond and sweet black cherry. leather on nose. will go well with beef  wild game and braised meats., ,Wine Rack 1,row 1/bin 2
2008,Molly Dooker Wines,The Boxer,Syrah/Shiraz,Barossa Valley,Australia,R,,,2014,,2,,750 mL,25.00,Loads of black fruit. very dense., ,Wine Rack 2,Row 3/bin 2
2009,Valley Gate Vineyards,Versada Vineyard Chardonnay,Chardonnay,Napa,United States,W,,,2013,,1,,750 mL,39.99,On the nose  orange  lemon custard  pear. On the palate  vivid tropical fruit  citrus oils  vanilla  oak. Long  clean finish. Pairs well with scallops  tilapia  dover sole  chicken dishes with cream sauce. ,Sold out. Winemaker quickly responded to my email inquiry about the drinking window. i like that. ,Wine Rack 3,Row 1  bin 3
2009,Bardessono Vineyards,Napa Valley Petite Sirah,Petite Sirah,Napa,United States,R,,,2020,,2,,750 mL,40.00,100 percent Petite Syrah. On the nose: blueberries  with raspberries and blackberries. Needs a bit of time to open in the glass. The first sip is black fruit -- cherries  currants. Nice finish. Unfiltered -- may need decanting., ,Wine Rack 3,Row 1/bin 4
2009,Molly Dooker Wines,The Boxer,Syrah/Shiraz,Austrailian Capital Territory,Australia,R,,,2015,,1,,750 mL,34.00,Intense blackberry  licorice  tar  cocoa bean aromas. Full bodied with moderate tannins. Long finish. , ,Wine Rack 2,Row 3/bin 2
